title,region,language,titleType,primaryTitle,startYear,genres,averageRating,numVotes,isAdult
Love You to Death,US,en,tvSeries,Love You to Death,2006,"Crime,Drama,Fantasy",7.3,259,0.0
Inner Circle Line,US,en,movie,Inner Circle Line,2006,Drama,7.8,34,0.0
Paper Dolls,US,en,movie,Paper Dolls,2006,Documentary,7.4,165,0.0
Iи Traиzit,GB,en,movie,In Tranzit,2008,"Drama,Romance,War",5.8,2109,0.0
Meet Bill,US,en,movie,Meet Bill,2007,"Comedy,Drama",6.2,19196,0.0
The Dallas Buyers Club,US,en,movie,Dallas Buyers Club,2013,"Biography,Drama",8.0,424174,0.0
The Dirt,US,en,movie,The Dirt,2019,"Biography,Comedy,Drama",7.0,35437,0.0
"Lust, Caution",US,en,movie,"Lust, Caution",2007,"Drama,History,Romance",7.5,36007,0.0
Interstellar,US,en,movie,Interstellar,2014,"Adventure,Drama,Sci-Fi",8.6,1416112,0.0
Pet Sematary,US,en,movie,Pet Sematary,2019,"Horror,Mystery,Thriller",5.7,73426,0.0
The Last House on the Left,US,en,movie,The Last House on the Left,2009,"Horror,Thriller",6.5,82893,0.0
A Melody Looking,US,en,movie,A Melody Looking,2006,Musical,5.4,27,0.0
Hoop Days,US,en,tvSeries,Hoop Days,2003,"Animation,Drama,Sport",6.1,48,0.0
It's Hard to Be Nice,GB,en,movie,It's Hard to Be Nice,2007,"Comedy,Drama",7.4,1006,0.0
The Day of the Dead,US,en,movie,The Day of the Dead,2007,"Horror,Thriller",4.6,54,0.0
Dogging: A Love Story,GB,en,movie,Public Sex,2009,"Comedy,Drama",4.5,507,0.0
Precious,US,en,movie,Precious,2009,Drama,7.3,103278,0.0
The Making of 'The Spy Who Loved Me',GB,en,tvSeries,The Making of 'The Spy Who Loved Me',1977,Documentary,7.8,12,0.0
Green Zone,US,en,movie,Green Zone,2010,"Action,Drama,Thriller",6.8,126441,0.0
Spiderman,US,en,movie,The Amazing Spider-Man,2012,"Action,Adventure,Sci-Fi",6.9,545736,0.0
Ingenious,US,en,movie,Ingenious,2009,"Comedy,Drama,Romance",5.8,1830,0.0
P Storm,US,en,movie,P Storm,2019,"Action,Crime",5.8,464,0.0
Vellai Pookal,US,en,movie,Vellai Pookal,2019,"Crime,Drama,Thriller",7.2,1183,0.0
Killing Sarai,US,en,movie,Killing Sarai,2019,"Romance,Thriller",5.7,182,0.0
The Anna Nicole Smith Story,US,en,movie,The Anna Nicole Smith Story,2007,"Biography,Drama",4.4,528,0.0
Feel Good,GB,en,tvSeries,Feel Good,2020,"Comedy,Drama,Romance",7.5,2744,0.0
Kingdom Men Rising,US,en,movie,Kingdom Men Rising,2019,Documentary,8.1,38,0.0
Ninja Warrior,US,en,tvSeries,Ninja Warrior,2007,"Reality-TV,Sport",8.0,971,0.0
Desire Game,US,en,movie,Desire Game,2019,"Crime,Mystery,Sci-Fi",4.7,10,0.0
Killer in Law,US,en,movie,Killer in Law,2018,Thriller,5.0,188,0.0
Lesbian Vampire Killers,GB,en,movie,Vampire Killers,2009,"Action,Comedy,Fantasy",5.1,19252,0.0
500 Days of Summer,US,en,movie,500 Days of Summer,2009,"Comedy,Drama,Romance",7.7,459378,0.0
First Love,US,en,movie,First Love,2019,"Comedy,Crime,Romance",6.9,3374,0.0
London Heist,GB,en,movie,Gunned Down,2017,"Action,Thriller",5.1,843,0.0
Gemini Man,US,en,movie,Gemini Man,2019,"Action,Drama,Sci-Fi",5.7,64077,0.0
Death Proof,US,en,movie,Death Proof,2007,"Action,Adventure,Thriller",7.0,260419,0.0
Totally Spies! The Movie,US,en,movie,Totally Spies! The Movie,2009,"Action,Adventure,Animation",6.5,382,0.0
A Chance to Love,US,en,tvSeries,A Chance to Love,2007,"Crime,Drama,Romance",7.5,81,0.0
Camp Hell,US,en,movie,Camp Hell,2010,"Drama,Horror",3.5,2055,0.0
The Family,US,en,tvSeries,The Family,2019,Documentary,6.4,2527,0.0
Back to School,US,en,movie,Back to School,2019,Comedy,5.3,865,0.0
Planet Terror,US,en,movie,Planet Terror,2007,"Action,Adventure,Comedy",7.1,195916,0.0
The Baby Proposal,US,en,movie,The Baby Proposal,2019,Romance,5.4,17,0.0
Alpha Males Experiment,US,en,movie,Alpha Males Experiment,2009,"Comedy,Romance",6.4,231,0.0
Mega Man Star Force,US,en,tvSeries,Mega Man Star Force,2006,Animation,7.1,48,0.0
Bad Lieutenant: Port of Call New Orleans,US,en,movie,Bad Lieutenant: Port of Call New Orleans,2009,"Crime,Drama",6.6,72853,0.0
Square One: Michael Jackson,US,en,movie,Square One: Michael Jackson,2019,"Documentary,Drama,Music",9.3,638,0.0
TRON: Legacy,US,en,movie,TRON: Legacy,2010,"Action,Adventure,Sci-Fi",6.8,306539,0.0
TRON: Legacy,GB,en,movie,TRON: Legacy,2010,"Action,Adventure,Sci-Fi",6.8,306539,0.0
ReVisioned: Tomb Raider Animated Series,US,en,tvSeries,ReVisioned: Tomb Raider Animated Series,2007,"Action,Adventure,Animation",6.6,101,0.0
Haunted Traxxs,US,en,movie,Haunted Traxxs,2009,"Drama,Horror,Mystery",3.5,173,0.0
The Athlete,US,en,movie,The Athlete,2009,"Biography,Drama",6.7,222,0.0
The Boat That Rocked,GB,en,movie,Pirate Radio,2009,"Comedy,Drama,Music",7.4,105440,0.0
Nailed,US,en,movie,Accidental Love,2015,"Comedy,Romance",4.1,7469,0.0
Stolen,US,en,movie,Stolen,2009,"Crime,Drama,Mystery",6.1,5264,0.0
Treeless Mountain,US,en,movie,Treeless Mountain,2008,Drama,7.0,1639,0.0
American Bully,US,en,movie,American Bully,2009,"Crime,Drama,Thriller",4.8,310,0.0
Babysitters Beware,US,en,movie,Babysitters Beware,2009,"Comedy,Family",4.4,331,0.0
6 Souls,US,en,movie,6 Souls,2010,"Horror,Mystery,Thriller",6.1,31593,0.0
Shelter,GB,en,movie,6 Souls,2010,"Horror,Mystery,Thriller",6.1,31593,0.0
The Flower of Kim Jong II,US,en,movie,The Flower of Kim Jong II,2009,"Documentary,Drama",6.9,791,0.0
A Hero in Heaven,US,en,movie,A Hero in Heaven,2007,"Biography,Documentary,War",7.3,18,0.0
Harry Potter and the Deathly Hallows: Part 2,GB,en,movie,Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure,Drama,Fantasy",8.1,732532,0.0
And They're Off,US,en,movie,And They're Off,1982,"Drama,Romance",5.0,23,0.0
The Misadventures of the Dunderheads,US,en,movie,The Misadventures of the Dunderheads,2012,"Comedy,Crime",4.6,290,0.0
Disneynature: Wings of Life,US,en,movie,Disneynature: Wings of Life,2011,"Documentary,Family,News",7.4,460,0.0
Betrayed,US,en,tvSeries,Betrayed,2008,Drama,7.4,155,0.0
Sword of War,US,en,movie,Sword of War,2009,"Drama,History,War",4.4,1223,0.0
Zane's Sex Chronicles,US,en,tvSeries,Zane's Sex Chronicles,2008,"Drama,Romance",6.0,392,0.0
RED,GB,en,movie,RED,2010,"Action,Comedy,Crime",7.0,281111,0.0
Interrogation of a Husband,US,en,movie,Interrogation of a Husband,2010,"Drama,Romance,Thriller",6.8,22,0.0
The Cabin in the Woods,US,en,movie,The Cabin in the Woods,2011,Horror,7.0,360762,0.0
One Night in Berlin,GB,en,movie,One Night in Berlin,2011,Drama,7.1,15,0.0
X-Men: First Class,US,en,movie,X-Men: First Class,2011,"Action,Adventure,Sci-Fi",7.7,631848,0.0
X-Men: First Class,GB,en,movie,X-Men: First Class,2011,"Action,Adventure,Sci-Fi",7.7,631848,0.0
Fist of the Warrior,US,en,movie,Fist of the Warrior,2007,"Action,Crime,Drama",3.8,369,0.0
Operation Belvis Bash,US,en,movie,We Will Rock You,2011,"Comedy,Music,Romance",6.4,1012,0.0
We Will Rock You,US,en,movie,We Will Rock You,2011,"Comedy,Music,Romance",6.4,1012,0.0
Ghostbusters,US,en,movie,Ghostbusters,2016,"Action,Comedy,Fantasy",5.2,197500,0.0
A Midsummer Comedy,US,en,movie,A Midsummer Comedy,2009,Comedy,4.2,475,0.0
Iron Man 3,US,en,movie,Iron Man 3,2013,"Action,Adventure,Sci-Fi",7.2,731777,0.0
Iron Man 3,GB,en,movie,Iron Man 3,2013,"Action,Adventure,Sci-Fi",7.2,731777,0.0
Redemption,US,en,movie,Redemption,2009,"Action,Crime,Drama",3.5,511,0.0
Mulan,US,en,movie,Mulan: Rise of a Warrior,2009,"Adventure,Drama,Romance",6.8,5313,0.0
Forbidden Attraction,US,en,movie,Forbidden Attraction,2010,Thriller,4.1,380,0.0
Percy the Park Keeper,GB,en,tvSeries,Percy the Park Keeper,1996,"Animation,Family",7.2,43,0.0
Lee Daniels' The Butler,US,en,movie,Lee Daniels' The Butler,2013,"Biography,Drama",7.2,105782,0.0
All American Orgy,US,en,movie,All American Orgy,2009,Comedy,3.5,928,0.0
Jackers,US,en,movie,Jackers,2010,"Action,Drama",3.5,462,0.0
Children Rise,US,en,movie,Angels in Exile,2016,Documentary,7.2,37,0.0
Welcome to Los Feliz,US,en,movie,Welcome to Los Feliz,2008,Comedy,6.5,20,0.0
Angels in Our Midst,US,en,movie,Angels in Our Midst,2007,"Drama,Family",4.5,40,0.0
The Knife of Don Juan,US,en,movie,The Knife of Don Juan,2013,"Comedy,Drama",7.1,34,0.0
The Unbeatable,US,en,movie,Ayan,2009,Action,7.4,7739,0.0
Knockdown,US,en,movie,Knockdown,2011,"Drama,Mystery,Thriller",4.1,229,0.0
Inception,US,en,movie,Inception,2010,"Action,Adventure,Sci-Fi",8.8,1964862,0.0
Dark House,US,en,movie,Dark House,2014,"Horror,Thriller",4.8,2359,0.0
Suicide Squad,US,en,movie,Suicide Squad,2016,"Action,Adventure,Fantasy",6.0,578167,0.0
An American Hippie in Israel,US,en,movie,An American Hippie in Israel,1972,"Action,Comedy,Sci-Fi",5.0,550,0.0
Perfect Sunday,US,en,movie,Perfect Sunday,2010,Comedy,5.7,45,0.0
American Lowrider,US,en,movie,Perfect Sunday,2010,Comedy,5.7,45,0.0
Transformers: Dark of the Moon,US,en,movie,Transformers: Dark of the Moon,2011,"Action,Adventure,Sci-Fi",6.2,377316,0.0
Happy Feet 2,US,en,movie,Happy Feet Two,2011,"Adventure,Animation,Comedy",5.9,40437,0.0
The Gunslingers,US,en,movie,The Gunslingers,2009,Western,3.8,83,0.0
Tanzania: A Journey Within,US,en,movie,Tanzania: A Journey Within,2011,Documentary,8.8,19,0.0
Someone Like You,US,en,movie,Unnaipol Oruvan,2009,"Crime,Drama,Mystery",8.0,4950,0.0
Beneath the Dark,US,en,movie,Beneath the Dark,2010,"Mystery,Thriller",5.1,1790,0.0
The Pirates! Band of Misfits,GB,en,movie,The Pirates! Band of Misfits,2012,"Adventure,Animation,Comedy",6.7,43616,0.0
Deadpool,US,en,movie,Deadpool,2016,"Action,Adventure,Comedy",8.0,871833,0.0
Mumbai Diaries,US,en,movie,Mumbai Diaries,2010,Drama,7.0,12064,0.0
Rio,US,en,movie,Rio,2011,"Adventure,Animation,Comedy",6.9,200242,0.0
Virginia,US,en,movie,Virginia,2010,Drama,5.4,1914,0.0
Falling Angel,US,en,tvSeries,Falling Angel,2009,Drama,7.9,385,0.0
The Conjuring,US,en,movie,The Conjuring,2013,"Horror,Mystery,Thriller",7.5,424329,0.0
Generation Y,US,en,tvSeries,Generation Y,2009,"Action,Romance",7.9,89,0.0
The Art of Racing in the Rain,US,en,movie,The Art of Racing in the Rain,2019,"Comedy,Drama,Romance",7.5,18577,0.0
Illegal,US,en,movie,Illegal,2010,Drama,7.2,69,0.0
Admissions,US,en,movie,At Middleton,2013,"Comedy,Romance",6.5,7606,0.0
One Piece: Strong World,US,en,movie,One Piece: Strong World,2009,"Action,Adventure,Animation",7.6,4278,0.0
Triple Frontier,US,en,movie,Triple Frontier,2019,"Action,Adventure,Crime",6.4,97358,0.0
Booksmart,US,en,movie,Booksmart,2019,Comedy,7.2,77108,0.0
Bad Boys for Life,US,en,movie,Bad Boys for Life,2020,"Action,Comedy,Crime",6.7,91970,0.0
Thin Ice,US,en,movie,Thin Ice,2011,"Comedy,Crime,Drama",6.2,4558,0.0
Aleta: Vampire Mistress,US,en,movie,Aleta: Vampire Mistress,2012,"Action,Fantasy,Horror",3.1,113,0.0
A Star Is Born,US,en,movie,A Star Is Born,2018,"Drama,Music,Romance",7.7,308515,0.0
Spy Kids 4-D: All the Time in the World,US,en,movie,Spy Kids 4-D: All the Time in the World,2011,"Action,Adventure,Comedy",3.5,21744,0.0
Walking Dead,US,en,tvSeries,The Walking Dead,2010,"Drama,Horror,Thriller",8.2,826132,0.0
Cowboys: Gang Life 4 Ever,US,en,movie,Cowboys: Gang Life 4 Ever,2008,Action,7.3,6,0.0
Mission Park,US,en,movie,Line of Duty,2013,"Action,Crime,Thriller",5.1,767,0.0
1st Night,GB,en,movie,First Night,2010,"Comedy,Musical,Romance",5.2,343,0.0
What Happened to Monday,GB,en,movie,What Happened to Monday,2017,"Action,Adventure,Crime",6.9,96072,0.0
Astronaut: The Last Push,US,en,movie,Astronaut: The Last Push,2012,"Drama,Sci-Fi",5.3,1536,0.0
The Drawn Together Movie!,US,en,movie,The Drawn Together Movie!,2010,"Animation,Comedy,Mystery",6.2,3858,0.0
Prime Kill,US,en,movie,Kill Everyone,2009,"Comedy,Horror,Thriller",4.9,18,0.0
The Girl with the Dragon Tattoo,US,en,movie,The Girl with the Dragon Tattoo,2011,"Crime,Drama,Mystery",7.8,406628,0.0
The Love Guide,US,en,movie,The Love Guide,2011,Comedy,4.1,297,0.0
Decline of an Empire,US,en,movie,Decline of an Empire,2014,"Biography,Drama,History",3.6,361,0.0
Under the Hood of RuPaul's Drag Race,US,en,tvSeries,RuPaul's Drag Race: Untucked!,2010,Reality-TV,7.9,2580,0.0
L.A. Zombie,US,en,movie,L.A. Zombie,2010,"Adult,Horror",3.6,455,1.0
The Clone,US,en,tvSeries,The Clone,2010,Drama,6.8,349,0.0
Band Baaja Baaraat: Bands Horns and Revelry,GB,en,movie,Band Baaja Baaraat,2010,"Comedy,Drama,Romance",7.2,14572,0.0
Chuck,US,en,movie,Chuck,2016,"Biography,Drama,Sport",6.5,5320,0.0
Kingdom of Dust: Beheading of Adam Smith,GB,en,movie,Kingdom of Dust: Beheading of Adam Smith,2011,"Drama,War",4.8,74,0.0
A Wrinkle in Time,US,en,movie,A Wrinkle in Time,2018,"Adventure,Family,Fantasy",4.2,38959,0.0
Bill Cunningham: New York,US,en,movie,Bill Cunningham: New York,2010,"Biography,Documentary,History",7.9,5062,0.0
Our Idiot Brother,US,en,movie,Our Idiot Brother,2011,"Comedy,Drama",6.4,82496,0.0
Mars and April,US,en,movie,Mars et Avril,2012,"Drama,Fantasy,Sci-Fi",6.0,747,0.0
After the Fall,US,en,movie,Louder Than Words,2013,"Drama,Family",6.0,1033,0.0
America: The Story of the US,US,en,tvSeries,America: The Story of the US,2010,"Documentary,History",7.3,1422,0.0
The Goa Run,GB,en,movie,The Goa Run,2014,"Action,Crime,Romance",7.2,56,0.0
Romeo & Juliet,US,en,movie,Romeo & Juliet,2013,"Drama,Romance",5.8,10744,0.0
The Expatriate,GB,en,movie,Erased,2012,"Action,Thriller",6.1,28560,0.0
Cowboys Vs. Vampires,US,en,movie,Cowboys Vs. Vampires,2010,"Action,Comedy,Drama",2.5,327,0.0
Missing,US,en,tvSeries,Missing,2010,"Action,Crime,Drama",7.3,117,0.0
Diary of a Wimpy Kid: Rodrick Rules,US,en,movie,Diary of a Wimpy Kid: Rodrick Rules,2011,"Comedy,Family",6.5,24831,0.0
SGT. Will Gardner,US,en,movie,SGT. Will Gardner,2019,"Action,Adventure,Drama",5.9,887,0.0
Super 8,US,en,movie,Super 8,2011,"Mystery,Sci-Fi,Thriller",7.0,331401,0.0
The Neighbor,US,en,movie,The Neighbor,2010,Drama,6.4,23,0.0
The Box Cutter,US,en,movie,The Box Cutter,2013,"Drama,Mystery",6.1,56,0.0
The Algerian,US,en,movie,The Algerian,2014,"Action,Romance,Thriller",5.5,202,0.0
Vampire Academy: Blood Sisters,US,en,movie,Vampire Academy,2014,"Action,Comedy,Drama",5.5,50716,0.0
A Borrowed Life,US,en,movie,Final Sale,2011,"Crime,Drama,Thriller",5.4,229,0.0
Heretics,US,en,movie,Come Sunday,2018,Drama,5.9,1824,0.0
Cat Planet Cuties,US,en,tvSeries,Cat Planet Cuties,2010,"Animation,Comedy,Romance",6.7,345,0.0
The Legend of Korra,US,en,tvSeries,The Legend of Korra,2012,"Action,Adventure,Animation",8.4,92144,0.0
Deadly Code,US,en,movie,Deadly Code,2013,"Crime,Drama",6.4,7257,0.0
Imogene,US,en,movie,Girl Most Likely,2012,Comedy,5.8,14478,0.0
!Women Art Revolution,US,en,movie,!Women Art Revolution,2010,Documentary,6.8,203,0.0
We the Peeples,US,en,movie,Peeples,2013,"Comedy,Romance",5.3,4583,0.0
Who the (Bleep) Did I Marry,US,en,tvSeries,Who the (Bleep) Did I Marry,2010,"Biography,Crime,Documentary",6.6,443,0.0
Dragon Age: Dawn of the Seeker,US,en,movie,Dragon Age: Dawn of the Seeker,2012,"Action,Adventure,Animation",5.8,2762,0.0
"Few Options, All Bad",US,en,movie,"Few Options, All Bad",2011,"Crime,Drama",5.9,460,0.0
When My Child Is Born,GB,en,movie,When My Child Is Born,2010,Documentary,9.2,9,0.0
Bohemian Rhapsody,GB,en,movie,Bohemian Rhapsody,2018,"Biography,Drama,Music",8.0,423552,0.0
Memories of a Lost Love,US,en,movie,Memories of a Lost Love,2011,"Drama,Romance,Thriller",6.6,64,0.0
Money or Bullets,US,en,movie,Silver or Lead,2010,Drama,6.7,26,0.0
Silver or Lead,US,en,movie,Silver or Lead,2010,Drama,6.7,26,0.0
Karla's Arrival,US,en,movie,Karla's Arrival,2011,"Documentary,Drama",6.3,18,0.0
Holbrook/Twain,US,en,movie,Holbrook/Twain: An American Odyssey,2014,Documentary,8.8,19,0.0
At Your Service,GB,en,movie,Servitude,2011,Comedy,4.8,247,0.0
Extracted,US,en,movie,Extracted,2012,"Drama,Sci-Fi",6.5,11269,0.0
Trouble in the Heights,US,en,movie,Trouble in the Heights,2011,Drama,6.4,88,0.0
"3, 2, 1... Frankie Go Boom",US,en,movie,"3, 2, 1... Frankie Go Boom",2012,Comedy,5.9,4659,0.0
Hostage,US,en,movie,Hostage,2012,Thriller,5.6,468,0.0
The Silent Truth,US,en,movie,The Silent Truth,2010,"Animation,Crime,Documentary",8.2,37,0.0
The Playboy Club,US,en,tvSeries,The Playboy Club,2011,"Crime,Drama",6.5,4787,0.0
Gordon Ramsay's Ultimate Christmas,US,en,tvSeries,Gordon Ramsay's Ultimate Christmas,2010,News,7.2,35,0.0
Pretty Bad Actress,US,en,movie,Pretty Bad Actress,2012,"Comedy,Crime,Drama",7.2,30,0.0
Phobia,US,en,movie,Phobia,2013,"Horror,Mystery,Thriller",3.4,173,0.0
My SO Has Got Depression,US,en,movie,My SO Has Got Depression,2011,Drama,6.8,410,0.0
Artificial Paradises,US,en,movie,Artificial Paradises,2011,Drama,6.6,145,0.0
The White Elephant,GB,en,movie,The White Elephant,2011,"Documentary,News",8.0,6,0.0
Family Weekend,US,en,movie,Family Weekend,2013,"Comedy,Drama",6.3,6538,0.0
The Inflicted,US,en,movie,The Inflicted,2012,"Horror,Thriller",3.6,149,0.0
Black Panther,US,en,movie,Black Panther,2018,"Action,Adventure,Sci-Fi",7.3,581653,0.0
Last Man Standing,US,en,tvSeries,Last Man Standing,2011,Comedy,7.6,27957,0.0
The Informer,GB,en,movie,The Informer,2019,"Crime,Drama,Thriller",6.5,12692,0.0
Scandal,US,en,tvSeries,Scandal,2012,"Drama,Thriller",7.7,65576,0.0
Entity,GB,en,movie,Entity,2012,"Horror,Thriller",4.7,1928,0.0
American Horror Story: Asylum,US,en,tvSeries,American Horror Story,2011,"Drama,Horror,Thriller",8.0,265631,0.0
American Horror Story: Apocalypse,US,en,tvSeries,American Horror Story,2011,"Drama,Horror,Thriller",8.0,265631,0.0
To Write Love on Her Arms,US,en,movie,To Write Love on Her Arms,2012,"Biography,Drama,Fantasy",6.6,2776,0.0
Invisible Empire,US,en,movie,Invisible Empire,2010,"Documentary,History",7.1,284,0.0
Blade Runner 2049,US,en,movie,Blade Runner 2049,2017,"Action,Drama,Mystery",8.0,430077,0.0
We Are Not Animals,US,en,movie,We Are Not Animals,2013,"Comedy,Drama",5.0,527,0.0
The Highwaymen,US,en,movie,The Highwaymen,2019,"Biography,Crime,Drama",6.9,65449,0.0
Fury,GB,en,movie,The Samaritan,2012,"Action,Crime,Drama",5.6,9321,0.0
The Samaritan,US,en,movie,The Samaritan,2012,"Action,Crime,Drama",5.6,9321,0.0
Spiderman,US,en,movie,The Amazing Spider-Man 2,2014,"Action,Adventure,Sci-Fi",6.6,405631,0.0
America Destroyed by Design,US,en,movie,America Destroyed by Design,1998,Documentary,6.3,46,0.0
Aquí y Allá: Here and There,US,en,movie,Aquí y Allá: Here and There,2012,Drama,6.0,209,0.0
Into the White,US,en,movie,Into the White,2012,"Action,Biography,Drama",7.2,19105,0.0
Oblivion,US,en,movie,Oblivion,2011,Thriller,7.2,9,0.0
The Pledge,US,en,movie,The Pledge,2011,"Drama,Family",6.0,166,0.0
Doughboy,US,en,movie,The Pledge,2011,"Drama,Family",6.0,166,0.0
Troubled Child,US,en,movie,Troubled Child,2012,Drama,5.4,205,0.0
Rick Stein's Mediterranean Escapes,GB,en,tvSeries,Rick Stein's Mediterranean Escapes,2007,Reality-TV,8.3,35,0.0
Heartlines,US,en,movie,Heartlines,2012,Drama,6.5,16,0.0
Beyond the Darkness,US,en,movie,Beyond the Darkness,2018,"Fantasy,Thriller",4.2,192,0.0
Redemption,GB,en,movie,Redemption,2013,"Action,Drama",6.2,63971,0.0
Dark Crimes,US,en,movie,Dark Crimes,2016,"Crime,Drama,Thriller",4.9,13704,0.0
Fast & Furious 6,GB,en,movie,Fast & Furious 6,2013,"Action,Adventure,Crime",7.1,359888,0.0
Fast & Furious 6,US,en,movie,Fast & Furious 6,2013,"Action,Adventure,Crime",7.1,359888,0.0
Stanley's Tiffin Box,US,en,movie,Stanley Ka Dabba,2011,"Comedy,Drama,Family",7.8,5759,0.0
Behind Closed Doors,US,en,tvSeries,Behind Closed Doors,2011,"Action,Crime,Drama",7.1,166,0.0
"Y/N: You Lie, You Die",US,en,movie,"Y/N: You Lie, You Die",2012,Thriller,5.0,734,0.0
January,GB,en,movie,January,2015,"Horror,Thriller",5.4,2035,0.0
My Heart Beats for Lola Volcán,US,en,tvSeries,My Heart Beats for Lola Volcán,2011,"Action,Crime,Drama",7.3,163,0.0
Accelerate: The BMX Movie,US,en,movie,Heroes of Dirt,2015,"Action,Drama,Sport",6.7,86,0.0
Birds of Paradise,US,en,movie,Beyond Paradise,2018,"Drama,Romance",5.7,342,0.0
Ford v Ferrari,US,en,movie,Ford v Ferrari,2019,"Action,Biography,Drama",8.1,216061,0.0
The Price to Pay,US,en,movie,The Price to Pay,2008,Drama,5.5,6,0.0
Nightingale,US,en,movie,The Immigrant,2013,"Drama,Romance",6.6,28714,0.0
Carl[a],US,en,movie,Carl[a],2011,Drama,7.1,30,0.0
Random Acts of Violence,US,en,movie,Random Acts of Violence,2012,"Comedy,Crime,Horror",5.7,375,0.0
Reel Black Love,US,en,movie,Reel Black Love,2011,Documentary,6.9,11,0.0
Greencard Warriors,US,en,movie,Greencard Warriors,2013,"Action,Drama,Romance",5.3,152,0.0
The Evil Inside,US,en,movie,The Evil Inside,2011,Horror,3.6,376,0.0
Unconditional Love,US,en,movie,Unconditional Love,2012,"Drama,Thriller",6.4,691,0.0
The Neon Demon,US,en,movie,The Neon Demon,2016,"Horror,Thriller",6.2,79498,0.0
Six Bullets,US,en,movie,6 Bullets,2012,"Action,Crime,Drama",6.1,13652,0.0
The Angry Birds Movie,US,en,movie,The Angry Birds Movie,2016,"Action,Adventure,Animation",6.3,76872,0.0
The Angry Birds Movie,GB,en,movie,The Angry Birds Movie,2016,"Action,Adventure,Animation",6.3,76872,0.0
Deceptz,US,en,movie,Deceptz,2011,Drama,5.6,12,0.0
7 Below,US,en,movie,7 Below,2012,Horror,3.1,3838,0.0
Southbound Heist,US,en,movie,Southbound Heist,2011,Comedy,3.0,116,0.0
400 Miles to Freedom,US,en,movie,400 Miles to Freedom,2012,"Biography,Documentary,Drama",7.2,5,0.0
15: An Exploration of Human Violence,US,en,movie,15: Inside the Mind of a Serial Killer,2011,"Horror,Thriller",4.1,47,0.0
The Devil's Mile,US,en,movie,Devil's Mile,2014,"Action,Crime,Horror",3.8,355,0.0
Alien Uprising,GB,en,movie,Alien Uprising,2012,"Comedy,Horror,Sci-Fi",3.1,3254,0.0
Border Run,US,en,movie,Border Run,2012,"Crime,Drama,Mystery",4.2,1665,0.0
Dawn Patrol,US,en,movie,Dawn Patrol,2014,"Drama,Thriller",4.6,645,0.0
